key	start_s	end_s	text
01033a5d7253	0.0	3.672	Ja, Ihre Beschwerden könnten zu einer Migräne passen.
01b86ccb7091	3.672	10.224	Sie haben etwa vier Kilogramm ungewollt abgenommen. Fieber, Übelkeit oder Erbrechen bestehen nicht.
02f4be9b33ed	10.224	13.368	Das können wir im Moment noch nicht sicher sagen.
02f825dfba45	13.368	18.792	Welche davon sinnvoll sind, hängt von der genauen Diagnose und vom Verlauf ab.
02f8c68ae3f4	18.792	24.36	Welche Behandlung notwendig ist, können wir erst nach der Untersuchung besser einschätzen.
036c3a83970a	24.36	27.384	Zunächst würde ich Sie körperlich untersuchen.
04d812330fe2	27.384	29.688	Was führt Sie heute zu mir?
04dce26836b2	29.688	33.336	Sie berichten über zunehmende Schmerzen im unteren Rücken.
05017b244e82	33.336	39.168	Danach entscheiden wir, ob weitere Untersuchungen notwendig sind, zum Beispiel ... oder ...
05945eeb80ab	39.168	44.016	Sicher sagen können wir das aber erst nach der neurologischen Untersuchung.
05a4a36f08f0	44.016	46.176	Außerdem werden wir ... und ...
06627c1252c0	46.176	49.92	Die Beschwerden bestehen seit einem Sturz beim Handballtraining.
06651faaea95	49.92	53.904	Haben Sie Taubheitsgefühle im Genital- oder Gesäßbereich?
08a432122e6c	53.904	58.176	Wie stark sind die Schmerzen auf einer Skala von 0 bis 10?
08e52ecd4b2a	58.176	62.952	Begleitend bestehen Übelkeit sowie Licht- und Geräuschempfindlichkeit.
0abe7bbbc158	62.952	64.32	Das ist möglich.
0acf38572b31	64.32	68.4	Seit zwei Wochen bestehen außerdem leichte Oberbauchschmerzen.
0ad90ec579bd	68.4	72.36	Besteht ein Zusammenhang mit dem Essen oder dem Stuhlgang?
0ae01490d10d	72.36	78.432	Sicher sagen können wir das aber erst nach der Untersuchung und gegebenenfalls einer Bildgebung.
0c1913e8d8a9	78.432	81.456	Brauche ich eine Überweisung zum Orthopäden?
0ca9693212ff	81.456	86.352	Anschließend besprechen wir gemeinsam die Ergebnisse und das weitere Vorgehen.
0dca288b0d8c	86.352	90.384	Wann war die Operation, und gab es Komplikationen?
0e8b961f621e	90.384	92.16	eine eine Magenspiegelung
0f0c1374abbe	92.16	95.184	Ist das Schlucken erschwert oder schmerzhaft?
0f55aec944d8	95.184	98.64	Wir vereinbaren abhängig vom Befund eine Kontrolle.
0fb165e44cfd	98.64	102.744	Ja, Ihre Beschwerden könnten zu COVID-19 passen.
0fe1c1995dd5	102.744	109.68	Wenn sich die Beschwerden verschlechtern oder neue Beschwerden auftreten, sollten Sie sich früher wieder vorstellen.
105296ebb336	109.68	111.744	Muss man das sofort röntgen?
105be26f3fdf	111.744	116.4	Könnte der Stress bei der Arbeit der Auslöser für meine Kopfschmerzen sein?
108fa66724d8	116.4	120.024	Können Sie das betroffene Bein noch bewegen und belasten?
1156218935f6	120.024	126.144	Wegen Ihrer Beschwerden sollten Sie jetzt im Krankenhaus weiter untersucht und behandelt werden.
127f184c396c	126.144	130.392	Gab es einen Unfall, einen Sturz oder eine ungewohnte Belastung?
1320bf10f287	130.392	133.056	Haben Sie ungewollt Gewicht verloren?
134390feb09a	133.056	138.96	Zunächst sollten wir prüfen, ob Ihre Beschwerden überhaupt mit den Tieren zusammenhängen.
13bcf7ea2f4d	138.96	141.552	Welche Untersuchungen sind notwendig?
13d6507f4999	141.552	146.952	Solange der Schwindel deutlich vorhanden ist, sollten Sie zunächst nicht Auto fahren.
146b18080bab	146.952	152.856	Haben Sie Schwierigkeiten ein- oder durchzuschlafen, oder fühlen Sie sich morgens nicht erholt?
1528daad806f	152.856	156.864	Sie berichten über zunehmenden Schwankschwindel seit drei Tagen.
1539e8aff77f	156.864	162.288	Wann treten die Beschwerden typischerweise auf, eher bei Belastung oder auch in Ruhe?
15b931b456c4	162.288	166.296	Sie berichten über wiederkehrende Schmerzen im linken Unterbauch.
163ab5999281	166.296	172.152	In Ruhe besteht keine Atemnot. Bei Belastung geraten Sie jedoch schneller außer Atem.
167beddf9534	172.152	176.376	Sind bei Ihnen chronische oder andere wichtige Erkrankungen bekannt?
16a6b59c0774	176.376	181.176	Welche Medikamente könnten mir bei den starken Kopfschmerzen besser helfen?
17942ed6c7e2	181.176	184.656	Seit drei Tagen haben Sie zusätzlich Halsschmerzen.
1832272a04f4	184.656	188.088	Danach richtet sich, welche Maßnahmen notwendig sind.
18ae12f0c20a	188.088	195.264	Außerdem haben Sie etwa fünf Kilogramm ungewollt abgenommen. Fieber, Übelkeit oder Erbrechen bestehen nicht.
190a349fe2a0	195.264	198.888	Verstärken Husten, Niesen oder Pressen die Schmerzen?
198a1f85722c	198.888	202.344	Sie berichten über starke Schmerzen im linken Knie.
19f5e7aba938	202.344	205.224	Dafür kommen verschiedene Ursachen infrage.
1a7f2bb7ad10	205.224	208.56	Ich erkläre Ihnen jetzt kurz, wie es weitergeht.
1b0dbeef9269	208.56	213.12	Ob Sie arbeiten können, hängt vom Befund und Ihrer Tätigkeit ab.
1b0e2e469c62	213.12	218.784	Ob eine Bildgebung notwendig ist, können wir erst nach der Untersuchung besser einschätzen.
1b9b063391d2	218.784	224.832	Die Schmerzen strahlen bis in den rechten Fuß aus und werden beim Sitzen und Bücken stärker.
1ba38ec17bc2	224.832	226.752	Wird das Asthma chronisch?
1bd4e2a68ad9	226.752	230.352	Taubheitsgefühl oder Kribbeln im Arm bestehen nicht.
1f100f288b72	230.352	236.52	Seh-, Sprach- oder Hörstörungen, Erbrechen, Bewusstseinsverlust oder Fieber bestehen nicht.
1f1f48955daf	236.52	241.536	Sie berichten über trockenen Husten, Fieber und ein starkes Krankheitsgefühl.
1f9b4a19dc82	241.536	245.328	Sie berichten über starke Schmerzen in der rechten Schulter.
2054c3384734	245.328	250.08	Die Beschwerden verstärken sich bei Staubkontakt und in geschlossenen Räumen.
21713743577c	250.08	253.296	Sind Ihre Impfungen vollständig und aktuell?
21fe82d19b30	253.296	256.824	Hatten Sie Schwindel oder sind Sie ohnmächtig geworden?
22241082458b	256.824	262.08	Zusätzlich bestehen Atemnot bei Belastung, Nachtschweiß und verminderter Appetit.
22ef43cbf4cd	262.08	263.904	Was machen Sie beruflich?
2374faa70434	263.904	269.064	Ja, hier wäre vor allem eine Spiegelung von Speiseröhre und Magen wichtig.
23b0bc8f622e	269.064	273.96	Wenn wir Warnzeichen feststellen, würde ich Sie ins Krankenhaus einweisen.
241f2deac20e	273.96	279.312	Dabei können wir die Schleimhaut direkt ansehen und bei Bedarf Gewebeproben entnehmen.
244e70516b0b	279.312	281.16	eine CT-Untersuchung
256dc583d3c6	281.16	288.264	Die genaue Ursache können wir erst nach der Untersuchung und gegebenenfalls weiteren Untersuchungen besser einschätzen.
25b5d9e2f156	288.264	291.048	Sollte ich mich lieber schonen oder bewegen?
26008570a89f	291.048	296.04	Wenn die Beschwerden länger anhalten, können weitere Untersuchungen sinnvoll sein.
263aaee2813a	296.04	303.096	Glauben Sie, dass das etwas mit meinem Herzen zu tun hat? Mein Vater hatte schließlich auch Herzprobleme.
266b315cab47	303.096	307.224	Können die Beschwerden etwas mit der Ernährung zu tun haben?
267b1ab08b1d	307.224	310.152	Das würde ich im Moment noch nicht entscheiden.
280051b279b1	310.152	314.712	Im Moment sollten Sie das Knie zunächst schonen und nicht stark belasten.
28f0a762e9ba	314.712	318.648	Ist das etwas Gefährliches oder geht das von allein weg?
2a9be7879ea5	318.648	323.16	Zusammen mit Ihren anderen Beschwerden müssen wir das dringend abklären.
2ad8ef431e2d	323.16	327.648	Zusätzlich haben Sie zunehmende Schwäche und Atemnot bei Belastung.
2c5b091b4025	327.648	331.272	Ist Sodbrennen vielleicht der Grund für meine Beschwerden?
2c707542967f	331.272	335.688	Sie berichten über leichte, ziehende Schmerzen in der rechten Flanke.
2cdfeaad311d	335.688	342.432	Zusätzlich haben Sie Kopfschmerzen, Müdigkeit sowie einen deutlich verminderten Geruchs- und Geschmackssinn.
2de26f1fc18d	342.432	346.656	Ja, Ihre Beschwerden könnten auch zu einer Depression passen.
2df89b9a9dd2	346.656	350.424	Muss ich mich krankmelden oder könnte ich auch weiterarbeiten?
2e302bcc75a6	350.424	352.896	Wie lange halten die Brustschmerzen an?
2e78b6353d1d	352.896	357.696	Begleitend haben Sie Belastungsatemnot, jedoch keine Beschwerden in Ruhe.
2f5ecce31cea	357.696	361.392	Haben Sie Atemnot oder starke Benommenheit bemerkt?
2fa4ccb6178d	361.392	365.856	Da sie bei Ihnen besonders stark ist, sollten wir sie genauer abklären.
32560504f94c	365.856	368.064	Kann das eine Magenblutung sein?
32bcfbe68c07	368.064	371.4	Gibt es spezielle Tests, die man machen sollte?
33e5dc7b033d	371.4	375.48	Zunächst würde ich Sie körperlich und neurologisch untersuchen.
34106aba073f	375.48	378.72	Blut im Stuhl sollte genauer abgeklärt werden.
355b4aaac62f	378.72	381.456	Ist das betroffene Bein kalt oder blass?
36ad97a098a3	381.456	385.656	Sind die Schmerzen dauerhaft oder treten sie anfallsweise auf?
38a9a5fada90	385.656	390.144	Kann es sein, dass ich Migräne habe? Wie kann man das genau feststellen?
3a82b945900e	390.144	394.824	Haben Sie Kribbeln, Taubheitsgefühle oder einen Kraftverlust bemerkt?
3b36e26e397a	394.824	397.608	Brauche ich eine Röntgenuntersuchung der Lunge?
3bc0932052f3	397.608	404.64	Bis wir wissen, was genau verletzt ist, sollten Sie den Arm zunächst schonen und starke Bewegungen vermeiden.
3bc4c2a2c169	404.64	407.28	Vielen Dank für die Informationen.
3c25d6d17026	407.28	410.976	Sind bei Ihnen Allergien oder Unverträglichkeiten bekannt?
3c4a862ddfda	410.976	414.216	Sie berichten über Schmerzen im linken Unterbauch.
3e0839994c55	414.216	419.544	Ob eine Bandage oder Schiene sinnvoll ist, entscheiden wir erst nach der Untersuchung.
3eaea6923770	419.544	422.664	Besteht die Gefahr, dass etwas gebrochen ist?
3f1a29974cdd	422.664	426.888	Welche Medikamente nehmen Sie regelmäßig oder bei Bedarf ein?
4022f43a037a	426.888	432.96	Sicher sagen können wir das aber erst nach der Untersuchung und einer Lungenfunktionsprüfung.
40b26bfd5596	432.96	435.72	Strahlen die Schmerzen irgendwohin aus?
4132a97cfadc	435.72	439.224	Wie alt sind Sie beziehungsweise wann sind Sie geboren?
418f7e0024f9	439.224	441.96	Zunächst würde ich Ihr Knie untersuchen.
41923c958603	441.96	446.592	Wenn wir die Diagnose haben, können wir die passende Behandlung festlegen.
4316eedcf70a	446.592	449.664	Verschlucken Sie sich beim Essen oder Trinken?
434cb6d03ac2	449.664	453.024	Hatten Sie solche Beschwerden früher schon einmal?
442913ac2a41	453.024	458.4	Es kann verschiedene Ursachen haben, deshalb sind weitere Untersuchungen notwendig.
4457592ce465	458.4	461.448	Bei Ihren Beschwerden kann ein Test sinnvoll sein.
44d4a5cda60e	461.448	467.256	Das hängt von den aktuell geltenden Regelungen und gegebenenfalls von Ihrem Arbeitsplatz ab.
45946ec341bd	467.256	472.488	Zusätzlich haben Sie Konzentrationsprobleme, Schlafstörungen und innere Unruhe.
45e2f551499c	472.488	477.024	Das lässt sich mit einer einzelnen Untersuchung nicht sicher ausschließen.
46587f8ae2a8	477.024	482.424	Gibt es Möglichkeiten, um die Kopfschmerzattacken seltener auftreten zu lassen?
4689bf909956	482.424	486.648	Können Stress oder meine Ernährung solche Symptome hervorrufen?
46dd59e90426	486.648	488.088	eine Darmspiegelung
46ed4d5aade2	488.088	492.696	Ist es normal, in meinem Alter plötzlich so müde und schwach zu sein?
473699dbc1d5	492.696	494.928	Ist die Stelle sichtbar verformt?
4795780a5dc1	494.928	497.52	Könnte das auch eine Depression sein?
494a0c2cba87	497.52	503.592	Begleitend bestehen leichtes Fieber, Übelkeit, Appetitlosigkeit und wechselnder Stuhlgang.
