file	text
01033a5d7253.mp3	Ja, Ihre Beschwerden könnten zu einer Migräne passen.
01b86ccb7091.mp3	Sie haben etwa vier Kilogramm ungewollt abgenommen. Fieber, Übelkeit oder Erbrechen bestehen nicht.
02f4be9b33ed.mp3	Das können wir im Moment noch nicht sicher sagen.
02f825dfba45.mp3	Welche davon sinnvoll sind, hängt von der genauen Diagnose und vom Verlauf ab.
02f8c68ae3f4.mp3	Welche Behandlung notwendig ist, können wir erst nach der Untersuchung besser einschätzen.
036c3a83970a.mp3	Zunächst würde ich Sie körperlich untersuchen.
04d812330fe2.mp3	Was führt Sie heute zu mir?
04dce26836b2.mp3	Sie berichten über zunehmende Schmerzen im unteren Rücken.
05017b244e82.mp3	Danach entscheiden wir, ob weitere Untersuchungen notwendig sind, zum Beispiel ... oder ...
05945eeb80ab.mp3	Sicher sagen können wir das aber erst nach der neurologischen Untersuchung.
05a4a36f08f0.mp3	Außerdem werden wir ... und ...
06627c1252c0.mp3	Die Beschwerden bestehen seit einem Sturz beim Handballtraining.
06651faaea95.mp3	Haben Sie Taubheitsgefühle im Genital- oder Gesäßbereich?
08a432122e6c.mp3	Wie stark sind die Schmerzen auf einer Skala von 0 bis 10?
08e52ecd4b2a.mp3	Begleitend bestehen Übelkeit sowie Licht- und Geräuschempfindlichkeit.
0abe7bbbc158.mp3	Das ist möglich.
0acf38572b31.mp3	Seit zwei Wochen bestehen außerdem leichte Oberbauchschmerzen.
0ad90ec579bd.mp3	Besteht ein Zusammenhang mit dem Essen oder dem Stuhlgang?
0ae01490d10d.mp3	Sicher sagen können wir das aber erst nach der Untersuchung und gegebenenfalls einer Bildgebung.
0c1913e8d8a9.mp3	Brauche ich eine Überweisung zum Orthopäden?
0ca9693212ff.mp3	Anschließend besprechen wir gemeinsam die Ergebnisse und das weitere Vorgehen.
0dca288b0d8c.mp3	Wann war die Operation, und gab es Komplikationen?
0e8b961f621e.mp3	eine eine Magenspiegelung
0f0c1374abbe.mp3	Ist das Schlucken erschwert oder schmerzhaft?
0f55aec944d8.mp3	Wir vereinbaren abhängig vom Befund eine Kontrolle.
0fb165e44cfd.mp3	Ja, Ihre Beschwerden könnten zu COVID-19 passen.
0fe1c1995dd5.mp3	Wenn sich die Beschwerden verschlechtern oder neue Beschwerden auftreten, sollten Sie sich früher wieder vorstellen.
105296ebb336.mp3	Muss man das sofort röntgen?
105be26f3fdf.mp3	Könnte der Stress bei der Arbeit der Auslöser für meine Kopfschmerzen sein?
108fa66724d8.mp3	Können Sie das betroffene Bein noch bewegen und belasten?
1156218935f6.mp3	Wegen Ihrer Beschwerden sollten Sie jetzt im Krankenhaus weiter untersucht und behandelt werden.
127f184c396c.mp3	Gab es einen Unfall, einen Sturz oder eine ungewohnte Belastung?
1320bf10f287.mp3	Haben Sie ungewollt Gewicht verloren?
134390feb09a.mp3	Zunächst sollten wir prüfen, ob Ihre Beschwerden überhaupt mit den Tieren zusammenhängen.
13bcf7ea2f4d.mp3	Welche Untersuchungen sind notwendig?
13d6507f4999.mp3	Solange der Schwindel deutlich vorhanden ist, sollten Sie zunächst nicht Auto fahren.
146b18080bab.mp3	Haben Sie Schwierigkeiten ein- oder durchzuschlafen, oder fühlen Sie sich morgens nicht erholt?
1528daad806f.mp3	Sie berichten über zunehmenden Schwankschwindel seit drei Tagen.
1539e8aff77f.mp3	Wann treten die Beschwerden typischerweise auf, eher bei Belastung oder auch in Ruhe?
15b931b456c4.mp3	Sie berichten über wiederkehrende Schmerzen im linken Unterbauch.
163ab5999281.mp3	In Ruhe besteht keine Atemnot. Bei Belastung geraten Sie jedoch schneller außer Atem.
167beddf9534.mp3	Sind bei Ihnen chronische oder andere wichtige Erkrankungen bekannt?
16a6b59c0774.mp3	Welche Medikamente könnten mir bei den starken Kopfschmerzen besser helfen?
